"","cluster_assignment","id","name","IBU","ABV","SRM"
"103","2","2avhYf","Beer Camp: Dry-Hopped Berliner-Style Weisse",-1.72459133272807,-1.87174985398359,-1.0583329133374
"104","8","eueVi6","Beer Camp: Dunkle Weisse",-1.34466011481315,-0.772370032053813,-0.0543562474233861
"105","15","z8iAm9","Beer Camp: East Meets West IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"106","13","bSQyva","Beer Camp: Ginger Lager",-1.51088002265092,-1.15715296972923,-1.0583329133374
"107","18","q5sbES","Beer Camp: Raspberry Sundae Ale",-0.157375058829022,0.409463276520699,1.08057389665332
"108","16","lT9g7O","Beer Camp: Stout of the Union",0.317538963564627,0.409463276520699,2.17185288134246
"109","18","SPbPNt","Beer Camp: Thai-Style Iced Tea",-0.157375058829022,0.409463276520699,1.08057389665332
"110","7","4jKDXK","Beer Camp: West Coast DIPA",1.9797380419424,1.37142062070925,-0.534519000686608
"111","15","h331gl","Beer Camp: White IPA with Yuzu",0.911181491556689,0.217071807682988,-0.447216681911477
"112","10","gFe3ro","Beer Like A Billy Goat",-0.561051977863624,0.272040798779476,-0.709123638236871
"113","19","ZJdowf","Beerhive",-0.394832070025847,1.09657566522681,-0.752774797624436
"114","8","1cLpJP","Beerito",-0.751017586821084,-0.772370032053813,-0.0980074068109518
"115","8","BoJHzM","Belgian Black IPA - Beer Camp #94",-0.751017586821084,-0.827339023150302,-0.534519000686608
"116","19","nAr0mR","Belgian Blond",-0.276103564427435,1.37142062070925,-0.709123638236871
"117","8","DQW0WA","Belgian Crush",-0.751017586821084,-0.827339023150302,-0.534519000686608
"118","8","hDKDfU","Belgian Style Pale Ale - Mountain Series",-0.751017586821084,-0.827339023150302,-0.534519000686608
"119","10","X8qNCS","Belgian-Style Blonde IPA",-0.869746092419496,0.217071807682988,-0.840077116399567
"120","6","17KZDP","Bella Czech Pils",-0.822254690180131,-0.88230801424679,-1.01468175394983
"121","2","O3nY32","Bernie Weisse",-1.72459133272807,-1.87174985398359,-1.0583329133374
"122","18","QtA7tb","Betsy's Revenge",-0.157375058829022,0.409463276520699,1.08057389665332
"123","4","pSVIAZ","BFD - Beer For Drinking",-0.988474598017909,-1.10218397863275,-0.883728275787133
"124","7","zqS7ze","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"125","7","ETtkIW","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"126","7","eyYenc","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"127","7","ygAzC9","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"128","7","aztnLa","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"129","7","DJcbV1","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"130","7","pdLPeS","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"131","7","Rx4Dnt","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"132","7","ysyw2P","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"133","7","4sdq0d","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"134","7","1UhodH","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"135","7","IphbdN","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"136","7","8PsCAg","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"137","7","ER2JSs","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"138","7","2CRlqm","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
